nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Ernesto Gómez,2021-22,Burgos CF,Julián Calero,27.0,Extremo,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,0.0,0.0,0,False,2.0,4713.0,14.0,12.61,24.89,10.0,18932.0,28.0,9.0,19860.0,5701.0,20,2,0,7,9,86.0
Filip Malbasic,2021-22,Burgos CF,Julián Calero,29.0,Extremo,libre,libre,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,900000.0,400000.0,-500000.0,-55.56,0,False,2.0,4713.0,14.0,12.61,24.89,10.0,18932.0,28.0,9.0,19860.0,5701.0,20,2,0,7,9,86.0
Fran García,2021-22,Burgos CF,Julián Calero,28.0,Lateral,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,400000.0,500000.0,100000.0,25.0,1,False,2.0,3702.0,1.0,1.27,19.55,10.0,18932.0,28.0,9.0,19860.0,0.0,13,4,1,4,8,84.66
Grego Sierra,2021-22,Burgos CF,Julián Calero,28.0,Central,libre,libre,Otra categoria España,26.0,2215.0,3.0,1.21,0.12,0.05,400000.0,400000.0,700000.0,300000.0,75.0,1,True,1.0,290.0,0.0,0.0,1.53,10.0,18932.0,28.0,9.0,19860.0,0.0,10,3,0,3,6,68.09
José Antonio Caro,2021-22,Burgos CF,Julián Calero,27.0,Portero,cesion,cesion,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,1500000.0,1000000.0,200.0,1,False,0.0,0.0,0.0,0.0,0.0,10.0,18932.0,28.0,9.0,19860.0,6015.0,8,1,0,0,3,42.36
José Matos,2021-22,Burgos CF,Julián Calero,26.0,Lateral,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,700000.0,1200000.0,500000.0,71.43,1,False,2.0,3702.0,1.0,1.27,19.55,10.0,18932.0,28.0,9.0,19860.0,0.0,13,4,1,4,8,84.66
Miguel Rubio,2021-22,Burgos CF,Julián Calero,23.0,Central,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,300000.0,150000.0,100.0,1,False,1.0,290.0,0.0,0.0,1.53,10.0,18932.0,28.0,9.0,19860.0,0.0,10,3,0,3,6,68.09
Pablo Valcarce,2021-22,Burgos CF,Julián Calero,28.0,Extremo,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,600000.0,600000.0,0.0,0.0,0,False,2.0,4713.0,14.0,12.61,24.89,10.0,18932.0,28.0,9.0,19860.0,5701.0,20,2,0,7,9,86.0
Riki Rodríguez,2021-22,Burgos CF,Julián Calero,23.0,Centrocampista,cesion,cesion,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,10.0,18932.0,28.0,9.0,19860.0,3552.0,12,2,0,7,6,80.57
Álex Alegría,2021-22,Burgos CF,Julián Calero,28.0,Delantero,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,200000.0,-300000.0,-60.0,0,False,2.0,3451.0,10.0,9.83,18.23,10.0,18932.0,28.0,9.0,19860.0,4592.0,9,3,2,4,3,67.28
Allan Nyom,2021-22,CD Leganés,Asier Garitano,33.0,Lateral,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,,,,,0,False,2.0,2708.0,2.0,1.69,10.84,10.0,24980.0,35.0,2.0,2312.0,34.0,10,5,1,3,3,65.98
