jugador,temporada,club,entrenador,edad,posicion,tipo_operacion,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion_porcentual,revalorizacion_absoluta,comp_desarrollo,comp_mercado,comp_rendimiento,comp_progresion,dimensiones_usadas,operation_success_score
Oriol Rey,2021-22,CD Mirandés,Alessio Lisci,23.0,Centrocampista,libre,libre,0.0,0.0,0.0,300000.0,200.0,600000.0,,1.0,,1.0,mercado+progresion,100.0
Ramón Juan,2021-22,CD Mirandés,Alessio Lisci,21.0,Portero,libre,libre,0.0,0.0,0.0,300000.0,100.0,300000.0,,0.75,,0.85,mercado+progresion,78.75
Riccardo Capellini,2021-22,CD Mirandés,Alessio Lisci,21.0,Central,cesion,cesion,0.0,0.0,0.0,250000.0,-20.0,-50000.0,,0.15,,0.0,mercado+progresion,9.38
Rodrigo Riquelme,2021-22,CD Mirandés,Alessio Lisci,21.0,Extremo,cesion,cesion,0.0,0.0,0.0,1800000.0,11.11,200000.0,,0.30555,,0.7,mercado+progresion,45.35
Roger Brugué,2021-22,CD Mirandés,Alessio Lisci,24.0,Extremo,cesion,cesion,0.0,0.0,0.0,200000.0,300.0,600000.0,,1.0,,1.0,mercado+progresion,100.0
Sergio Camello,2021-22,CD Mirandés,Alessio Lisci,20.0,Delantero,cesion,cesion,0.0,0.0,0.0,2300000.0,30.43,700000.0,,0.40215,,0.7,mercado+progresion,51.38
Sergio Carreira,2021-22,CD Mirandés,Alessio Lisci,20.0,Lateral,cesion,cesion,0.0,0.0,0.0,1000000.0,50.0,500000.0,,0.5,,0.7,mercado+progresion,57.5
Simón Moreno,2021-22,CD Mirandés,Alessio Lisci,24.0,Delantero,libre,libre,0.0,0.0,0.0,300000.0,100.0,300000.0,,0.75,,0.85,mercado+progresion,78.75
Unai Rementeria,2021-22,CD Mirandés,Alessio Lisci,21.0,Centrocampista,libre,libre,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Warren Tchimbembé,2021-22,CD Mirandés,Alessio Lisci,23.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,1200000.0,-33.33,-400000.0,,0.08335000000000001,,0.0,mercado+progresion,5.21
Andrés Martín,2021-22,CD Tenerife,Luis Miguel Ramis,22.0,Extremo,cesion,cesion,0.0,0.0,0.0,1200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Elady Zorrilla,2021-22,CD Tenerife,Luis Miguel Ramis,31.0,Extremo,libre,libre,0.0,0.0,0.0,400000.0,25.0,100000.0,,0.375,,0.7,mercado+progresion,49.69
Enric Gallego,2021-22,CD Tenerife,Luis Miguel Ramis,34.0,Delantero,libre,libre,2886.0,12.0,11.49,1000000.0,,,1.0,,0.732,,desarrollo+rendimiento,91.07
José León,2021-22,CD Tenerife,Luis Miguel Ramis,26.0,Central,libre,libre,3658.0,1.0,1.31,500000.0,,,1.0,,0.048,,desarrollo+rendimiento,68.27
Juan Soriano,2021-22,CD Tenerife,Luis Miguel Ramis,23.0,Portero,libre,libre,0.0,0.0,0.0,1000000.0,50.0,500000.0,,0.5,,0.7,mercado+progresion,57.5
Mario González,2021-22,CD Tenerife,Luis Miguel Ramis,25.0,Delantero,cesion,cesion,0.0,0.0,0.0,3000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Míchel Herrero,2021-22,CD Tenerife,Luis Miguel Ramis,32.0,Centrocampista,libre,libre,0.0,0.0,0.0,1200000.0,-33.33,-400000.0,,0.08335000000000001,,0.0,mercado+progresion,5.21
Pablo Larrea,2021-22,CD Tenerife,Luis Miguel Ramis,27.0,Centrocampista,libre,libre,0.0,0.0,0.0,400000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Rubén Díez,2021-22,CD Tenerife,Luis Miguel Ramis,27.0,Mediapunta,traspaso,traspaso,0.0,0.0,0.0,500000.0,-40.0,-200000.0,,0.05,,0.0,mercado+progresion,3.12
