club,posicion,jugadores_sub23,minutos_sub23,partidos_sub23,titularidades_sub23,goles_sub23,xg_sub23,valor_medio,revalorizacion_media,entrenador_principal,temporadas_analizadas,pct_minutos_sub23_club
Deportivo Alavés,Lateral,2,1176.0,18.0,,1.0,1.35,,,,2,16.91
UD Ibiza,Lateral,1,929.0,18.0,,1.0,0.1,,,,1,97.58
SD Huesca,Lateral,2,860.0,22.0,,0.0,2.05,,,,1,7.7
CD Tenerife,Lateral,1,793.0,12.0,,0.0,0.57,,,Óscar Cano,1,37.39
FC Andorra,Lateral,1,768.0,17.0,,1.0,0.91,400000.0,,,1,2.96
CD Lugo,Lateral,1,147.0,2.0,,0.0,0.01,,,,1,100.0
Elche CF,Lateral,1,107.0,2.0,,0.0,0.0,,,Sebastián Beccacece,1,1.66
Levante UD,Lateral,1,27.0,1.0,,0.0,0.0,,,Lluís Carreras,1,0.2
Racing Santander,Mediocentro,9,13932.0,218.0,,14.0,12.65,1171428.57,,Íñigo Vélez,3,43.18
CD Mirandés,Mediocentro,9,13632.0,224.0,,9.0,13.58,208333.33,,Míchel Alonso,4,41.38
Sporting Gijón,Mediocentro,9,10680.0,190.0,,8.0,8.27,585714.29,500000.0,Rubén Albés,5,36.13
Deportivo de La Coruña,Mediocentro,3,10010.0,145.0,,12.0,11.33,6600000.0,,Óscar Gilsanz,3,39.53
SD Eibar,Mediocentro,6,9206.0,162.0,,9.0,10.5,800000.0,-500000.0,Gaizka Garitano,5,66.4
UD Almería,Mediocentro,4,8681.0,159.0,,17.0,15.28,2125000.0,,Rubén Albés,3,63.61
FC Andorra,Mediocentro,7,7481.0,151.0,,8.0,8.26,400000.0,,Ferran Costa,4,28.85
Málaga CF,Mediocentro,3,7438.0,105.0,,6.0,4.39,100000.0,,José Alberto,4,32.54
Burgos CF,Mediocentro,4,6776.0,108.0,,3.0,2.68,850000.0,,Julián Calero,4,35.79
Córdoba CF,Mediocentro,5,5807.0,93.0,,8.0,8.92,575000.0,400000.0,Iván Ania,3,36.93
Cultural Leonesa,Mediocentro,4,5252.0,89.0,,1.0,4.15,225000.0,,,3,25.83
Real Sociedad B,Mediocentro,3,4996.0,80.0,,2.0,3.73,10025000.0,,,2,27.07
Cádiz CF,Mediocentro,1,4557.0,58.0,,4.0,1.13,,,Pako Ayestarán,2,14.67
Granada CF,Mediocentro,4,4444.0,66.0,,7.0,3.02,750000.0,,,1,16.33
UD Las Palmas,Mediocentro,3,3981.0,55.0,,0.0,1.14,200000.0,,García Pimienta,2,39.0
Albacete Balompié,Mediocentro,4,3833.0,86.0,,1.0,2.45,425000.0,,Rubén Albés,3,25.59
SD Huesca,Mediocentro,5,3283.0,76.0,,6.0,4.13,366666.67,,Antonio Hidalgo,4,29.4
Real Valladolid CF,Mediocentro,4,3181.0,65.0,,2.0,5.64,2100000.0,,Diego Cocca,2,14.42
CD Castellón,Mediocentro,1,2878.0,37.0,,2.0,2.43,250000.0,,,1,44.08
Real Oviedo,Mediocentro,1,2742.0,43.0,,4.0,4.54,2000000.0,,Luis Carrión,1,50.19
RCD Espanyol Barcelona,Mediocentro,2,1733.0,24.0,,0.0,0.83,2000000.0,,Luis García Plaza,1,15.45
