jugador,posicion,edad,minutos_actuales,goles_actuales,xg_actual,operacion_sugerida,confianza_modelo,revalorizacion_esperada_media_top5,prob_revalorizacion_positiva_media_top5,prob_cesion_historica,prob_traspaso_historico,score_destino_medio_top5,clubes_ideales,entrenadores_ideales,sucesos_similares,razonamiento
Manu González,Portero,19,3308.0,0.0,0.0,Ceder,Media,106045.05,0.4264,0.2899,0.1277,40.43,FC Andorra (49.6) | Real Valladolid CF (44.2) | Córdoba CF (40.2) | Cádiz CF (35.8) | Racing Santander (32.3),Paulo Pezzolano | Pako Ayestarán,Antal Yaakobishvili FC Andorra cesion | Áron Yaakobishvili FC Andorra cesion | S. Eriksson Racing Santander sub23_wyscout | Dani Martín SD Huesca cesion | L. Gómez Racing Santander sub23_wyscout,"Ceder: top destinos con score medio 40.4; revalorizacion esperada media €106k; probabilidad de revalorizacion positiva 43%; similitud historica cesion 29%, traspaso 13%."
Jorge Oreiro,Central,20,2346.0,0.0,1.24,Ceder,Media,249810.62,0.56,0.2804,0.2104,56.25,CD Mirandés (67.5) | CD Leganés (58.2) | Racing Santander (55.2) | Real Valladolid CF (52.7) | Cultural Leonesa (47.7),Míchel Alonso | Borja Jiménez | Diego Cocca,Y. Saidu Real Zaragoza sub23_wyscout | Marc Bombardó FC Andorra sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout | Matia Barzic Cultural Leonesa sub23_wyscout,"Ceder: top destinos con score medio 56.3; revalorizacion esperada media €250k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 28%, traspaso 21%."
German García,Portero,22,525.0,0.0,0.0,Renovar y ceder,Baja,9889.35,0.4287,0.2357,0.1309,38.78,FC Andorra (47.6) | Real Valladolid CF (42.0) | Córdoba CF (38.3) | Cádiz CF (34.8) | Granada CF (31.2),Paulo Pezzolano | Pako Ayestarán,Antal Yaakobishvili FC Andorra cesion | S. Eriksson Racing Santander sub23_wyscout | Rubén Gómez Villarreal CF B sub23_wyscout | Carlos López Málaga CF sub23_wyscout | Ander Astralaga Granada CF cesion,"Renovar y ceder: top destinos con score medio 38.8; revalorizacion esperada media €10k; probabilidad de revalorizacion positiva 43%; similitud historica cesion 24%, traspaso 13%."
Pablo Busto,Lateral,20,896.0,0.0,0.11,Ceder,Media,243597.61,0.6281,0.2934,0.1175,56.34,Albacete Balompié (64.2) | CD Mirandés (61.3) | Real Zaragoza (54.7) | Racing Santander (51.4) | Granada CF (50.0),Rubén Albés | Víctor Fernández | Íñigo Vélez | Aitor Karanka,J. Díaz Peregrina Cádiz CF sub23_wyscout | H. San Modesto Real Valladolid CF sub23_wyscout | Jon Garro Real Sociedad B sub23_wyscout | Hodei Arrillaga SD Eibar sub23_wyscout | Toni Tamarit CD Mirandés cesion,"Ceder: top destinos con score medio 56.3; revalorizacion esperada media €244k; probabilidad de revalorizacion positiva 63%; similitud historica cesion 29%, traspaso 12%."
R. Marina,Delantero,19,2339.0,7.0,9.73,Ceder,Media,805088.01,0.3966,0.3227,0.3178,57.76,CD Mirandés (69.7) | Racing Santander (59.9) | Málaga CF (56.1) | Real Valladolid CF (53.6) | Granada CF (49.4),Míchel Alonso | Diego Cocca | Fran Escribá,G. Petit Granada CF sub23_wyscout | M. Kim FC Andorra sub23_wyscout | Joel Roca Girona FC sub23_wyscout | Carlos Espí Levante UD sub23_wyscout | Chuki Real Valladolid CF sub23_wyscout,"Ceder: top destinos con score medio 57.8; revalorizacion esperada media €805k; probabilidad de revalorizacion positiva 40%; similitud historica cesion 32%, traspaso 32%."
D. Bladi,Lateral,21,2313.0,1.0,0.78,Ceder,Media,261582.47,0.6217,0.2892,0.1812,56.63,Albacete Balompié (64.5) | CD Mirandés (61.7) | Real Zaragoza (55.1) | Racing Santander (51.5) | Granada CF (50.3),Rubén Albés | Víctor Fernández | Íñigo Vélez | Aitor Karanka,Toni Tamarit CD Mirandés cesion | Hodei Arrillaga SD Eibar sub23_wyscout | Marcos Luna UD Almería sub23_wyscout | Jon Garro Real Sociedad B sub23_wyscout | Mario García Racing Santander sub23_wyscout,"Ceder: top destinos con score medio 56.6; revalorizacion esperada media €262k; probabilidad de revalorizacion positiva 62%; similitud historica cesion 29%, traspaso 18%."
E. Zidane,Central,20,1666.0,0.0,0.6,Ceder,Media,237684.84,0.5553,0.295,0.1783,55.88,CD Mirandés (67.3) | CD Leganés (57.8) | Racing Santander (54.9) | Real Valladolid CF (52.2) | Cultural Leonesa (47.2),Míchel Alonso | Borja Jiménez | Diego Cocca,Marc Bombardó FC Andorra sub23_wyscout | Y. Saidu Real Zaragoza sub23_wyscout | Matia Barzic Cultural Leonesa sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout | B. Kovačević Cádiz CF sub23_wyscout,"Ceder: top destinos con score medio 55.9; revalorizacion esperada media €238k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 29%, traspaso 18%."
Òscar Masqué,Lateral,19,1361.0,1.0,0.44,Ceder,Media,320667.32,0.602,0.2953,0.1675,57.71,Albacete Balompié (66.0) | CD Mirandés (62.3) | Real Zaragoza (56.6) | Racing Santander (52.8) | SD Eibar (50.8),Rubén Albés | Víctor Fernández | Íñigo Vélez | Gaizka Garitano,Toni Tamarit CD Mirandés cesion | Jon Garro Real Sociedad B sub23_wyscout | Hodei Arrillaga SD Eibar sub23_wyscout | J. Salinas Racing Santander sub23_wyscout | J. Díaz Peregrina Cádiz CF sub23_wyscout,"Ceder: top destinos con score medio 57.7; revalorizacion esperada media €321k; probabilidad de revalorizacion positiva 60%; similitud historica cesion 30%, traspaso 17%."
Dani Pérez,Centrocampista,20,2090.0,0.0,0.64,Ceder,Media,233340.54,0.5609,0.3331,0.1796,55.75,CD Mirandés (74.3) | Racing Santander (61.1) | Sporting Gijón (49.8) | Córdoba CF (47.8) | FC Andorra (45.7),Míchel Alonso | Íñigo Vélez | Rubén Albés | Iván Ania | Ferran Costa,T. Helguera CD Mirandés sub23_wyscout | Izan Merino Málaga CF sub23_wyscout | E. Akman FC Andorra sub23_wyscout | S. Džodić UD Almería sub23_wyscout | Manu Rodríguez Sporting Gijón sub23_wyscout,"Ceder: top destinos con score medio 55.7; revalorizacion esperada media €233k; probabilidad de revalorizacion positiva 56%; similitud historica cesion 33%, traspaso 18%."
Aitor Gismera,Mediocentro,22,1558.0,0.0,0.06,Ceder,Baja,121934.17,0.3872,0.2596,0.1549,37.34,CD Mirandés (45.6) | Racing Santander (39.4) | Sporting Gijón (35.8) | SD Eibar (33.2) | UD Almería (32.6),Míchel Alonso | Íñigo Vélez | Rubén Albés | Gaizka Garitano,Jorge Cabello CD Mirandés sub23_wyscout | Antal Yaakobishvili FC Andorra cesion | Mario García Racing Santander sub23_wyscout | M. Diakité Cádiz CF sub23_wyscout | Marcos Luna UD Almería sub23_wyscout,"Ceder: top destinos con score medio 37.3; revalorizacion esperada media €122k; probabilidad de revalorizacion positiva 39%; similitud historica cesion 26%, traspaso 15%."
