jugador,club,posicion,nacionalidad,edad_llegada,temporada_llegada,temporada_salida,vm_llegada,vm_salida,revalorizacion_abs,revalorizacion_pct,importe_compra,importe_venta
Pol García,CD Lugo,Centre-Back,Spain,27,2021-22,2022-23,800000.0,400000.0,-400000.0,-50.0,,
Pol Valentín,Sporting Gijón,Right-Back,Spain,25,2022-23,2023-24,300000.0,300000.0,0.0,0.0,,300000.0
Pêpê,FC Cartagena,Central Midfield,Portugal,25,2022-23,2023-24,3000000.0,3000000.0,0.0,0.0,,
Quentin Lecoeuche,Real Zaragoza,Left Midfield,France,29,2023-24,2024-25,800000.0,600000.0,-200000.0,-25.0,,
Rachad Fettal,UD Almería,Centre-Forward,Spain,19,2024-25,2025-26,,500000.0,,,,900000.0
Radosav Petrovic,Real Zaragoza,Centre-Back,Serbia,32,2021-22,2022-23,400000.0,200000.0,-200000.0,-50.0,,
Rafa Mujica,UD Las Palmas,Centre-Forward,Spain,22,2021-22,2022-23,300000.0,300000.0,0.0,0.0,,
Rafa Núñez,Elche CF,Left Winger,Dominican Republic,22,2024-25,2024-25,200000.0,300000.0,100000.0,50.0,,
Rafa Obrador,Deportivo de La Coruña,Left-Back,Spain,20,2024-25,2025-26,300000.0,500000.0,200000.0,66.67,,
Rafa Tresaco,SD Huesca,Left Winger,Spain,23,2023-24,2024-25,50000.0,100000.0,50000.0,100.0,,
Rai Marchán,Albacete Balompié,Central Midfield,Spain,30,2023-24,2025-26,250000.0,200000.0,-50000.0,-20.0,,
Ramon,RCD Espanyol Barcelona,Left-Back,Brazil,22,2023-24,2023-24,2500000.0,2000000.0,-500000.0,-20.0,,
Ramón Juan,CD Mirandés,Goalkeeper,Spain,21,2021-22,2024-25,300000.0,600000.0,300000.0,100.0,,
Ramón Vila,Córdoba CF,Goalkeeper,Spain,22,2024-25,2025-26,150000.0,200000.0,50000.0,33.33,,
Raúl Alcaina,Deportivo de La Coruña,Centre-Forward,Spain,24,2025-26,2025-26,200000.0,200000.0,0.0,0.0,,
Raúl Asencio,AD Alcorcón,Centre-Forward,Spain,23,2021-22,2021-22,550000.0,300000.0,-250000.0,-45.45,,
Raúl Carnero,Real Valladolid CF,Left-Back,Spain,34,2023-24,2023-24,200000.0,200000.0,0.0,0.0,,
Raúl Fernández,CD Mirandés,Goalkeeper,Spain,36,2024-25,2025-26,200000.0,200000.0,0.0,0.0,,
Raúl Fernández,Granada CF,Goalkeeper,Spain,34,2022-23,2024-25,200000.0,200000.0,0.0,0.0,,
Raúl García,CD Mirandés,Centre-Forward,Spain,21,2022-23,2023-24,500000.0,4000000.0,3500000.0,700.0,,
Raúl Guti,Elche CF,Central Midfield,Spain,27,2024-25,2024-25,1500000.0,1500000.0,0.0,0.0,,
Raúl Guti,Real Zaragoza,Central Midfield,Spain,27,2023-24,2024-25,1800000.0,1500000.0,-300000.0,-16.67,,
Raúl Lizoain,FC Andorra,Goalkeeper,Spain,31,2022-23,2023-24,400000.0,400000.0,0.0,0.0,,
Raúl Lizoain,FC Cartagena,Goalkeeper,Spain,32,2023-24,2024-25,400000.0,300000.0,-100000.0,-25.0,,
Raúl Moro,Real Oviedo,Left Winger,Spain,20,2022-23,2023-24,2500000.0,2500000.0,0.0,0.0,,
Raúl Moro,Real Valladolid CF,Left Winger,Spain,20,2023-24,2025-26,2500000.0,7500000.0,5000000.0,200.0,,11000000.0
Raúl Navas,CD Mirandés,Centre-Back,Spain,34,2022-23,2023-24,300000.0,300000.0,0.0,0.0,,
Raúl Navas,UD Las Palmas,Centre-Back,Spain,33,2021-22,2022-23,300000.0,300000.0,0.0,0.0,15000.0,
Raúl Parra,CD Mirandés,Right-Back,Spain,22,2022-23,2022-23,300000.0,300000.0,0.0,0.0,,
Raúl Sánchez,CD Castellón,Left Winger,Spain,28,2025-26,2025-26,900000.0,900000.0,0.0,0.0,200000.0,1000000.0
Raúl Sánchez,UD Ibiza,Left Winger,Spain,24,2021-22,2022-23,400000.0,400000.0,0.0,0.0,50000.0,
Recio,CD Leganés,Central Midfield,Spain,30,2021-22,2022-23,1200000.0,1000000.0,-200000.0,-16.67,,
Reinier,Granada CF,Attacking Midfield,Brazil,22,2024-25,2025-26,3500000.0,1500000.0,-2000000.0,-57.14,,
Ricard Pujol,SD Ponferradina,Centre-Back,Spain,23,2021-22,2022-23,300000.0,300000.0,0.0,0.0,,
Ricard Sánchez,CD Lugo,Right-Back,Spain,21,2021-22,2022-23,1500000.0,600000.0,-900000.0,-60.0,,
Ricard Sánchez,Granada CF,Right-Back,Spain,22,2022-23,2025-26,600000.0,2500000.0,1900000.0,316.67,,
