jugador,edad,equipo_actual,posicion_jugador,posicion_original,valor_mercado_jugador,minutos_jugador,goles_jugador,xg_jugador,ranking_destino,club_destino,posicion_destino,entrenador_principal,score_evidencia,nivel_evidencia,jugadores_sub23_destino,minutos_sub23_destino,partidos_sub23_destino,goles_sub23_destino,xg_sub23_destino,valor_medio_destino,revalorizacion_media_destino,temporadas_analizadas,pct_minutos_sub23_club,razones
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,3,Cultural Leonesa,Central,,69.87,Alta,4,10123.0,114.0,4.0,5.97,466666.67,,2,49.79,10123 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: nan; 4 goles Sub23; xG Sub23 5.97
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,4,Real Valladolid CF,Central,Diego Cocca,57.38,Alta,3,6995.0,78.0,1.0,2.13,125000.0,,2,31.7,6995 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Diego Cocca; entrenador con 4971 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.13
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,5,Deportivo de La Coruña,Central,Óscar Gilsanz,56.57,Alta,3,5927.0,70.0,3.0,3.12,150000.0,,2,23.41,5927 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; entrenador con 5927 min Sub23 en posicion; 3 goles Sub23; xG Sub23 3.12
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,6,Cádiz CF,Central,Pako Ayestarán,52.18,Alta,3,5706.0,63.0,1.0,2.72,275000.0,,2,18.37,5706 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 5706 min Sub23 en posicion; 1 goles Sub23; xG Sub23 2.72
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,7,Racing Santander,Central,,50.59,Alta,4,5649.0,67.0,4.0,8.28,1300000.0,,2,17.51,5649 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: nan; 4 goles Sub23; xG Sub23 8.28
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,8,Sporting Gijón,Central,Rubén Albés,44.73,Media,4,4918.0,59.0,1.0,1.31,450000.0,,3,16.64,4918 min Sub23 en Central; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; entrenador con 2707 min Sub23 en posicion; 1 goles Sub23; xG Sub23 1.31
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,9,Granada CF,Central,Fran Escribá,43.7,Media,3,4150.0,53.0,3.0,1.76,375000.0,,1,15.25,4150 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Fran Escribá; entrenador con 4150 min Sub23 en posicion; 3 goles Sub23; xG Sub23 1.76
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,10,CD Mirandés,Central,Míchel Alonso,43.38,Alta,3,6303.0,78.0,1.0,1.66,400000.0,,3,19.13,6303 min Sub23 en Central; 3 jugadores Sub23 usados; entrenador principal: Míchel Alonso; entrenador con 1642 min Sub23 en posicion; 1 goles Sub23; xG Sub23 1.66
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,11,Villarreal CF B,Central,,32.91,Media,2,3478.0,41.0,2.0,2.63,,,1,36.94,3478 min Sub23 en Central; 2 jugadores Sub23 usados; entrenador principal: nan; 2 goles Sub23; xG Sub23 2.63
M. Hamdoune,21,Real Betis B,Central,"LCB, CB",0,1079,0,0.02,12,FC Andorra,Central,,32.24,Media,2,4959.0,57.0,2.0,2.44,150000.0,,1,19.13,4959 min Sub23 en Central; 2 jugadores Sub23 usados; entrenador principal: nan; 2 goles Sub23; xG Sub23 2.44
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,1,Racing Santander,Mediocentro,Íñigo Vélez,64.73,Alta,9,13932.0,218.0,14.0,12.65,1171428.57,,3,43.18,13932 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Íñigo Vélez; 14 goles Sub23; xG Sub23 12.65
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,2,CD Mirandés,Mediocentro,Míchel Alonso,62.45,Alta,9,13632.0,224.0,9.0,13.58,208333.33,,4,41.38,13632 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Míchel Alonso; 9 goles Sub23; xG Sub23 13.58
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,3,Sporting Gijón,Mediocentro,Rubén Albés,62.29,Alta,9,10680.0,190.0,8.0,8.27,585714.29,500000.0,5,36.13,10680 min Sub23 en Mediocentro; 9 jugadores Sub23 usados; entrenador principal: Rubén Albés; 8 goles Sub23; xG Sub23 8.27
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,4,SD Eibar,Mediocentro,Gaizka Garitano,49.13,Alta,6,9206.0,162.0,9.0,10.5,800000.0,-500000.0,5,66.4,9206 min Sub23 en Mediocentro; 6 jugadores Sub23 usados; entrenador principal: Gaizka Garitano; 9 goles Sub23; xG Sub23 10.50
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,5,UD Almería,Mediocentro,Rubén Albés,48.02,Alta,4,8681.0,159.0,17.0,15.28,2125000.0,,3,63.61,8681 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Rubén Albés; 17 goles Sub23; xG Sub23 15.28
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,6,Deportivo de La Coruña,Mediocentro,Óscar Gilsanz,43.3,Alta,3,10010.0,145.0,12.0,11.33,6600000.0,,3,39.53,10010 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: Óscar Gilsanz; 12 goles Sub23; xG Sub23 11.33
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,7,Córdoba CF,Mediocentro,Iván Ania,41.7,Alta,5,5807.0,93.0,8.0,8.92,575000.0,400000.0,3,36.93,5807 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Iván Ania; 8 goles Sub23; xG Sub23 8.92
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,8,FC Andorra,Mediocentro,Ferran Costa,39.83,Alta,7,7481.0,151.0,8.0,8.26,400000.0,,4,28.85,7481 min Sub23 en Mediocentro; 7 jugadores Sub23 usados; entrenador principal: Ferran Costa; 8 goles Sub23; xG Sub23 8.26
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,9,Málaga CF,Mediocentro,José Alberto,31.79,Alta,3,7438.0,105.0,6.0,4.39,100000.0,,4,32.54,7438 min Sub23 en Mediocentro; 3 jugadores Sub23 usados; entrenador principal: José Alberto; 6 goles Sub23; xG Sub23 4.39
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,10,Burgos CF,Mediocentro,Julián Calero,30.82,Alta,4,6776.0,108.0,3.0,2.68,850000.0,,4,35.79,6776 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: Julián Calero; 3 goles Sub23; xG Sub23 2.68
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,11,Cultural Leonesa,Mediocentro,,25.33,Alta,4,5252.0,89.0,1.0,4.15,225000.0,,3,25.83,5252 min Sub23 en Mediocentro; 4 jugadores Sub23 usados; entrenador principal: nan; 1 goles Sub23; xG Sub23 4.15
Adrian Martin,19,Real Betis B,Centrocampista,"RCMF, DMF",0,52,0,0.14,12,SD Huesca,Mediocentro,Antonio Hidalgo,24.13,Media,5,3283.0,76.0,6.0,4.13,366666.67,,4,29.4,3283 min Sub23 en Mediocentro; 5 jugadores Sub23 usados; entrenador principal: Antonio Hidalgo; 6 goles Sub23; xG Sub23 4.13
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,1,Levante UD,Portero,Julián Calero,82.5,Media,1,6015.0,61.0,0.0,0.0,800000.0,,2,44.02,6015 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: Julián Calero; entrenador con 6015 min Sub23 en posicion
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,2,FC Andorra,Portero,,48.04,Media,2,4106.0,42.0,0.0,0.0,300000.0,,1,15.84,4106 min Sub23 en Portero; 2 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,3,Real Valladolid CF,Portero,Paulo Pezzolano,47.5,Media,1,2576.0,27.0,0.0,0.09,600000.0,,3,11.67,2576 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: Paulo Pezzolano; entrenador con 1416 min Sub23 en posicion; xG Sub23 0.09
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,4,Córdoba CF,Portero,,44.08,Media,1,3329.0,34.0,0.0,0.0,800000.0,,1,21.17,3329 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,5,Cádiz CF,Portero,Pako Ayestarán,42.35,Media,1,3571.0,36.0,0.0,0.0,100000.0,,2,11.5,3571 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 3571 min Sub23 en posicion
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,6,Granada CF,Portero,,27.56,Baja,1,1423.0,15.0,0.0,0.0,800000.0,,1,5.23,1423 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,7,Racing Santander,Portero,,19.93,Baja,2,717.0,7.0,0.0,0.0,,,1,2.22,717 min Sub23 en Portero; 2 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,8,FC Cartagena,Portero,,15.56,Baja,1,100.0,1.0,0.0,0.0,50000.0,,1,20.12,100 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,9,SD Huesca,Portero,,14.89,Baja,1,410.0,4.0,0.0,0.0,300000.0,,1,3.67,410 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,10,Villarreal CF B,Portero,,8.42,Baja,1,97.0,1.0,0.0,0.0,,,1,1.03,97 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,11,Málaga CF,Portero,,8.21,Baja,1,97.0,1.0,0.0,0.0,,,1,0.42,97 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
V. Răfăilă,21,Real Betis B,Portero,GK,0,106,0,0.0,12,Real Zaragoza,Portero,,7.94,Baja,1,50.0,1.0,0.0,0.0,,,1,0.45,50 min Sub23 en Portero; 1 jugadores Sub23 usados; entrenador principal: nan
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,1,Cádiz CF,Extremo,Pako Ayestarán,70.85,Alta,5,6199.0,113.0,12.0,13.6,2000000.0,,2,19.96,6199 min Sub23 en Extremo; 5 jugadores Sub23 usados; entrenador principal: Pako Ayestarán; entrenador con 6199 min Sub23 en posicion; 12 goles Sub23; xG Sub23 13.60
Antonio Toral,22,Real Betis B,Extremo,"LW, LAMF, LWF",0,468,0,0.28,2,Sporting Gijón,Extremo,David Gallego,69.3,Alta,3,7021.0,133.0,16.0,12.85,1225000.0,0.0,3,23.75,7021 min Sub23 en Extremo; 3 jugadores Sub23 usados; entrenador principal: David Gallego; entrenador con 5714 min Sub23 en posicion; 16 goles Sub23; xG Sub23 12.85
