temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2023-24,def,A. Arroyo,Rubin Kazan',"RB, LB, RCB",RB,Lateral,26.0,Colombia,Colombia,derecho,179,72,800000,2029-06-30,26,1963,1,1.14,False,a arroyo|rubin kazan|2023-24
2025-26,def,Marcos Luna,UD Almería,RB,RB,Lateral,23.0,Spain,Spain,derecho,180,80,0,2030-06-30,31,1962,0,0.57,False,marcos luna|ud almeria|2025-26
2025-26,att,Diego García,CD Leganés,CF,CF,Delantero,26.0,Spain,Spain,derecho,186,80,2000000,2028-06-30,38,1959,4,9.82,False,diego garcia|cd leganes|2025-26
2025-26,att,K. Kodro,Real Zaragoza,CF,CF,Delantero,32.0,Spain,"Spain, Bosnia and Herzegovina",derecho,188,78,1200000,2026-06-30,33,1959,7,9.52,True,k kodro|real zaragoza|2025-26
2023-24,def,Diego González,AD Ceuta FC,LCB,LCB,Central,26.0,Spain,Spain,izquierdo,179,73,300000,2026-06-30,23,1958,0,0.53,False,diego gonzalez|ad ceuta fc|2023-24
2022-23,med,Sergio Molina,FC Andorra,LCMF,LCMF,Centrocampista,30.0,Spain,Spain,derecho,178,70,700000,2028-06-30,29,1956,2,0.51,False,sergio molina|fc andorra|2022-23
2023-24,def,C. Izquierdoz,Lanús,"RCB, CB",RCB,Central,37.0,Argentina,"Argentina, Italy",derecho,185,88,800000,2026-06-30,23,1954,1,1.33,False,c izquierdoz|lanus|2023-24
2024-25,def,Ian Mackay,Intercity SJ D' Alacant,GK,GK,Portero,39.0,Spain,"Spain, Scotland",derecho,181,79,100000,2026-06-30,20,1950,0,0.0,False,ian mackay|intercity sj d alacant|2024-25
2025-26,med,Pablo Santiago,CD Castellón,"LW, RW, LAMF",LW,Extremo,25.0,Spain,Spain,derecho,173,0,0,2028-06-30,32,1950,3,4.52,False,pablo santiago|cd castellon|2025-26
2021-22,def,Juande Rivas,Piast Gliwice,"RCB, LCB",RCB,Central,26.0,Spain,Spain,derecho,187,78,400000,2027-06-30,21,1949,2,0.97,False,juande rivas|piast gliwice|2021-22
