jugador,spieler_id
Gabriel Barès,484743
Gabriel Brazão,371247
Gabriel Fernández,259930
Gabriel Fuentes,480686
Gabriele Corbo,423614
Gael Alonso,715622
Gaizka Larrazabal,439465
Gaku Shibasaki,129693
Galder Cerrajería,128452
Gaspar Campos,580525
Gaspar Panadero,251883
Gastón Brugman,131109
Gastón Silva,189452
Gastón Valles,1033478
Gaëtan Poussin,344591
Genaro Rodríguez,396109
Gerard Gumbau,268670
Gerard Hernández,741254
Gerard Valentín,278651
Germán Sánchez,95963
Germán Valera,548188
Gervane Kastaneer,240752
Ghislain Konan,422850
Giacomo Quagliata,458777
Gianfranco Gazzaniga,270314
Gianni Cassaro,335247
Giorgi Aburjania,186848
Giorgi Guliashvili,502682
Giorgi Kochorashvili,405564
Giorgi Makaridze,55977
Giorgi Tsitaishvili,419067
Giovanni Zarfino,208022
Giuliano Simeone,742201
Gonzalo Crettaz,631049
Gonzalo Escalante,266795
Gonzalo Escobar,440377
Gonzalo Melero,162056
Gonzalo Petit,997814
Gonzalo Plata,592735
Gonzalo Verdú,184779
Gonzalo Villar,398163
Gori Gracia,705815
Gorka Carrera,1063598
Gorka Gorosabel,1186745
Gorka Guruzeta,340205
Gorka Iturraspe,255500
Goyo Medina,497566
Grego Sierra,253905
Gui Guedes,696506
Guilherme Fernandes,567504
Guilherme Schettine,371245
Guille Bueno,854079
Guillem Naranjo,904145
Guillermo Fernández,142023
Guillermo Vallejo,341570
Guillermo de Amores,189425
Gustavo Albarracín,1074967
Gustavo Blanco Leschuk,181006
Gustavo Henrique,208681
Gustavo Puerta,936981
Guzmán Ortega,1157610
Haissem Hassan,620164
Haris Medunjanin,30666
Haris Vuckic,76560
Haritz Albisua,222013
Hector Hevel,277962
Helibelton Palacios,211389
Helton Leite,175383
Henrique Silva,204072
Heri Tavares,445517
Hernán Santana,176133
Hernâni,172142
Hicham Boussefiane,465321
Hicham Nouali,842568
Higinio Marín,242882
Hodei Arrillaga,1112214
Homam Al-Amin,556713
Houboulang Mendes,442552
Hugo Anglada,895899
Hugo González,707279
Hugo Lozano,1000624
Hugo Novoa,668276
Hugo Pinilla,1262309
Hugo Pérez,718027
Hugo Rama,510329
Hugo Rincón,834487
Hugo Vallejo,628301
Héber Pena,275020
Héctor Martínez,655455
Iago Indias,356196
Iago López,572299
Ian Forns,946275
Ian Mackay,88917
Iano Simão,627631
Ibai Aguirre,1354775
Ibra Cámara,668273
Ibrahim Alani,1367276
Ibrahima Koné,490223
Ibrahima Kébé,785967
Iddrisu Baba,442805
Idrissa Doumbia,430579
Ignacio Jeraldino,203150
Ignacio Laquintana,577407
Ignacio Otaño,289277
Ignacio Schor,840760
Ignasi Miquel,70245
Ignasi Vilarrasa,581701
Igor Nikic,938509
Iker Alday,710653
Iker Amorrortu,510995
Iker Benito,710679
Iker Bilbao,386667
Iker Bravo,741292
Iker Córdoba,834463
Iker Goujón,607841
Iker Kortajarena,625653
Iker Losada,632741
Iker Recio,628461
Iker Ropero,1136037
Iker Undabarrena,181113
Iker Unzueta,605466
Iker Varela,834492
Iker Álvarez,547248
Ilyas Chaira,593412
Imanol Ezkurdia,649791
Imanol Galarreta,711385
Imanol García de Albéniz,626954
Iomar Vidal,1161276
Iriome González,51519
Isaac Obeng,946282
Isak Jansson,535820
Isidro Pitta,675178
Isma López,54231
Isma Ruiz,631221
Ismael Athuman,351204
Ismael Barea,1228383
Ismael Casas,465316
Ismael Gutiérrez,630990
Iuri Tabatadze,539965
Ivan Durdov,584809
Ivanildo Fernandes,340524
Iván Alejo,281755
Iván Ayllón,983135
Iván Azón,633306
Iván Balliu,85295
Iván Barbero,514514
Iván Calero,212849
Iván Chapela,412046
Iván Cuéllar,27493
Iván Cédric,716163
Iván Forte,96537
Iván Fresneda,946883
Iván Garriel,940616
Iván Gil,611075
Iván Martos,406773
Iván Martín,341278
Iván Morante,548109
Iván Pomba,1134981
Iván Rodríguez,284454
Iván Rodríguez,943868
Iván Romero,628886
Iván Sánchez,221311
Iván Villar,297194
Izan González,1060024
Izan Merino,1078436
Iñaki González,1019408
Iñigo Córdoba,251848
Iñigo Eguaras,89731
Iñigo Vicente,335216
Jack Harper,147524
Jacob Carney,552984
Jacobo González,340870
Jacobo Guzmán,766580
Jaime Mata,227961
Jaime Romero,81998
Jaime Seoane,340867
Jaime Sánchez,212863
Jair Amador,128479
Jairo Izquierdo,337946
Jairo Noriega,891931
Jairo Quinteros,623022
Jairo Samperio,171167
Jakes Gorosabel,1171526
James Igbekeme,375849
Jan Encuentra,1165332
Jan Salas,1063574
Jandro Orellana,388548
Jannick Buyla,525891
